idx	Title	Content 
1	1944年（民33年，34歲） 10月1日　日	今天雖是中秋節，又碰上星期天，公司仍如常上班。都是戰爭的緣故。在公司混了一日。過了下午四點，帶母親、肇嘉嫂、淑英等孩子們到天壇遊覽。秋日和煦，神清氣爽。晚上七點回到辦公處與同僚設宴共祝中秋佳節，與張小姐一同賞月，閒談四年前的往事。晚上九點用車送她回去，並帶淑英到京屋家拜訪。
2	1944年（民33年，34歲） 10月2日　月	四處物色家具，物價飛騰，令人咋舌。晚上把橋本君叫來辦公處，同沙處長、王課長討論水泥定價等種種事宜。月光下晚上十點回到家，三個孩子感冒咳嗽，讓人擔心。
2	1944年（民33年，34歲） 10月3日　火	早上，為了簡化軍需品運送，與各關係人開會。搭下午二點五十分的快車前往天津，與開灤白川氏會面。下車後在合豐與三連兄見面，之後前往耀華里73號拜訪沙兄昔日戀人楊小姐(一位50歲的單身婦女)，傳達沙兄的愛意，並邀約同遊北京。但對方因故未能答應，讓人好生失望。夜裡在袁總理家，邀白川開灤再興監督官做主賓，與孫開灤總經理、周實之、陳協理、袁十一爺、于董事長等人共進晚餐，討論煤炭、水泥的交易問題、潮問題、公司的經理問題等直到晚上十點。宴後在部中央稍事看戲，之後陪伴黃氏父子、陳姊夫到堯君家拜訪，協議應對楊朝華採取何種妥善態度。為此聊到凌晨二點。回到明星後，談及陳姊夫工作上半吊子的態度，勸他反省。
2	1944年（民33年，34歲） 10月4日　水	昨夜在「明星」留宿，早晨來到芙蓉別館飯店拜訪元龍君，尋問綿袋之事，但不成。十點半搭快車，途中路過三連兄處討論商情，之後回到北京，回程與徐良氏（大使）同車，討論不少時局現況。夜晚王芹藻君、肇嘉嫂、姊姊、玉燕等人來家裡熱鬧。預付王太太一年份房租。今日又買了家具。
2	1944年（民33年，34歲） 10月5日　木	今日完成軍用房租定額案。夜晚在新月，王幼呈課長、陳國權作陪，招待糧食公會的中村君，閒聊各種糧食相關話題。晚上被我軍兄招待，這群過去最讓我喜愛的夥伴，如今卻熱中賭博，讓人不想與他們為伍。對麻將厭煩，也對他們的友情厭煩，有空時寧願多讀點書。幸好最近快搬家了，商賈之流究竟與自己本性不合。下午五點芹藻君又來討論石膏事。璃莉退燒，但病情依舊未見起色。
2	1944年（民33年，34歲） 10月6日　金	今日朝華氏來訪，希望七日舉行的股東大會可以延期。他的態度讓人忍不住想生氣。唐山工廠正因缺煤而發愁。經濟統制實在是妨礙事情順利進行。
2	1944年（民33年，34歲） 10月7日　土	今天是俞董事葬禮。袁總理也從天津趕來參加。下午一點中平大佐與潮囑託來認真討論工場的警備問題。下午四點一同到三原情報課長家，他對警備問題出了許多力，前往表示謝意。
2	1944年（民33年，34歲） 10月8日　日	終於明天就要搬家，今天先把重要的家具搬出來。早晨邱課長來討論明天結婚典禮之事。一天就在整理行李中度過。晚上姊姊、肇嘉嫂一行與賴太太、毛昭江君等人來訪，熱熱鬧鬧地度過西黃域根的最後一夜。
2	1944年（民33年，34歲） 10月9日　月	今日從府右街西黃域根40號乙(電話西局4101)搬到東四北大街三條胡同14號。華北運輸派來的工人淨是些孩子，意外多費不少精力。東四新居只有外表氣派，設備上少了浴室、廚房配備不良，讓人好是失望。更糟的是，我對那鄰居叫周大文的一點好感也沒。
2	1944年（民33年，34歲） 10月10日　火	今天雙十節，公司放半天假。下午兩點參加邱登□的婚禮，伴郎遲到，我代理。如此一來，證婚人、介紹人、伴郎、親戚代表，我全擔任過了。婚禮結束後，與我軍、深切夫婦去中山公園散步，欣賞郭百〔柏〕川畫展。之後前往京屋家拜訪，然後邀得陳火斐夫婦、三連兄、子文君弟媳、洪炎秋太太、肇嘉嫂及姊姊一同來我的新居做客。
2	1944年（民33年，34歲） 10月11日　水	唐山工場煤炭短缺的情形愈加告急，今天緊急拜託中西少佐與大使館商工課商量對策。十一點左右造訪開灤北京事務所，與永井所長與朝川氏懇談水泥煤炭交易之事。晚上整理行李到午夜兩點。
2	1944年（民33年，34歲） 10月12日　木	早上同沙處長、王第二課長、何正義君等人出席開灤舉行的水泥價格審議會。會議規模之大，出人意表。大高雜局課長、香川參□、神□參事以下，鷹取、白川、植村、池田華陽、李增禮等皆參加，橋本君擔任說明人。對他霸道的態度感到憤慨，可以的話，真想與他和沙氏兩人一刀兩斷。晚上又忙著整理渡過一夜。今天美軍近千架飛機空襲（台灣）老家，聽說被害慘重。
2	1944年（民33年，34歲） 10月13日　金	不知是否因數日來整理搬家行李晚睡，頭疼厲害。電話遷設的事交給元禧交涉，瑪莉幼稚園的事則交給張小姐處理，但兩個都沒有下文。催促朝華君及早舉行股東會，也沒確切的回音。今天又是近千架飛機空襲家園，無法想像老家現在變成甚麼樣。
2	1944年（民33年，34歲） 10月14日　土	電話意外提早通話，很是開心。全靠賴天穎君的幫忙。號碼是北局－1624。十一點半拜訪華北氮肥料土山課長與吹田主任，請對方撥出些許石膏做為青島的學校用白粉筆。晚上被毛昭江君招待，同席間有黃司令、李瑛局長、楊縣長等。宴後談到打倒白鳥，不惜一切援助要把與京津市民為敵的白鳥驅逐。宴後，與李局長、楊縣長等人打麻將。
2	1944年（民33年，34歲） 10月15日　日	早晨有俞人鳳董事夫妻的追悼會，我是頭號幹事，早晨十點開始前往會場善良寺。川上商工課長也特別列席參加。下午一點忙著計算水泥原價，回到公司。下午四點參加彭子騰所長的結婚典禮(留日學會)，晚上忙寫原價計算的文件。夜晚李勉之董事來辦公處，與沙處長三人對公司內部人事、特別是針對袁總理，痛批一頓。
2	1944年（民33年，34歲） 10月16日　月	十一點半與袁總理懇談許多公司目前的問題。十二點半川上課長、中平大佐、渡邊書記生、潮囑託來訪，討論唐山警備問題、中平及潮的待遇問題，他們要求同顧問等級的待遇讓人很不愉快。中午在辦公處一同用餐，氣氛較之前和樂不少，論及許多問題。晚上被朝華君找去討論華北影劇公司的組織整理等，對他自私的主張雖然憤慨，但還是圓融地勸服他。實在是沒看過這種人物，我對影劇業打錯算盤打成這樣，致使在大陸投下自己全部十年的汗水，真是錯得離譜。現在後悔已然太遲，半夜醒來好幾回，很不是滋味。
2	1944年（民33年，34歲） 10月17日　火	早晨去公司露一下臉。今天開始舉行滿鐵、華中、鮮族的討論會，但我個人興趣全無，連會議也沒參加。十一點來到辦公處，中餐後回家，母親與淑英感情又不睦，這次聽說主因是基心君的吃飯問題。稍事午睡後，帶淑英去許久未去的「□仙」觀賞西蒙娜?西蒙(Simone Simon)主演的「綠色花園」(LES BEAUX JOURS，1935年)。不論重看幾次，仍會熱淚盈眶，片中滿是青春期的年少感傷，特別是人心的柔軟讓人感觸至深。最近從許多失敗中發現自己脾氣變得粗暴，十分痛心。此外淑英的性格也大剌剌，母親常常對淑英與我的態度感到不滿。連小小的家也不得安寧，整日懊惱的痛苦讓人難以忍受。晚上在「東來順」有貨物課的懇親會，真是一點也不想去。另外還有佐藤君接到教育召集令的送別會。會後回到家，母親責罵我與淑英的態度，還哭了。其實我也覺得自己非常不應該，無論如何還是想多盡點孝道。就寢時，我認真地忠告淑英，以後對母親的態度與言談要多加留意。母親與淑英的不合，讓我對生活更覺孤寂。一整晚想著母親的事，完全睡不著。
2	1944年（民33年，34歲） 10月18日　水	早上與袁總理、沙處長拜訪司令部的澤田大尉，並和中西少佐見面。請他們對工廠的煤炭不足問題多出力。下午一點在辦公處被袁總理、李董事邀約與吳經濟總署署長、沈局長、許局長、俞秘書長、袁部長、沙處長、康秘書等人共進午餐。下午三點被渡邊君叫到大使館討論水泥原價計算事宜。晚上把中西少佐請來家中，找來袁總理、李董事、袁部長、沙處長等六人共進晚餐，對中西少佐報告最近大使館對啟新的處置方案。
2	1944年（民33年，34歲） 10月19日　木	十一點池田華陽造訪公司，一起聊到他已逝的夫人以前的點點滴滴。夫人生前十分溫柔，讓人印象深刻，怎麼樣也想不到她早一步逝世。池田君似乎非常痛苦，讓人同情不已。我帶他去啟新，介紹沙氏給他認識，剛好朝華君也拿劇場契約前來，與沙氏四人，連同從天津來的馬先生一起，五個人在「玉華台」用中餐。飯後，與池田君伴著夕陽散步王府井。最近可不能陷入憂鬱的心情當中。
2	1944年（民33年，34歲） 10月20日　金	從今天開始要忙著完成煤炭收授運費案。中飯過後為了三條房舍設備問題與沙氏意見不合，表達對啟新的些許不滿，但後來才後悔，還不如不說罷了。晚上招待開發雜局課的田淵、渡部，請他們圓滑處理火藥問題。晚上八點，朝華太太與石大夫來訪，提到天津劇場因為饒的關係幾乎沒辦法收拾，我答應她們，願意明天一同與朝華君同去天津。今天會弄到這步田地，並不是饒君的錯，倒不如說是朝華君自己的過失。一整晚，我感嘆自己最近的境遇，搞不懂為甚麼一切都不順利，意氣著實消沉。
2	1944年（民33年，34歲） 10月21日　土	下午兩點五十分，為了解決被饒君接收的劇場問題，與朝華君乘快車赴津。沒想到楊太太、石大夫也同車，有他們兩人同行，反讓人擔心事情會惡化。下車後先往合豐拜訪三連兄，報告京屋君被逮捕的事，爾後馬上前往「明星」找陳姊夫，問他饒君接收的始末，後來參加在「聚合成」舉行的合豐行蔚豐銀號招待宴會。藍局長、吳經理、楊子文做東，請來蔚豐的理事長、經理等幹部，辦了一桌兩千圓的豪華酒宴。價格之高，是我這輩子吃過最豪華的高級料理。宴後直接在「仙樂」與饒君、黃父子、田心等會面，聽他們敘述接收情形與對朝華君的不滿，由於過去十個月我自己也忙，對饒君直截了當的處理方式固然感謝，但他的作法也未免太過分了一點。本來還是想替朝華君留點面子，但現在看來是沒辦法了。一個小時後我帶他去見朝華君，在楊太太、石大夫、陳姐夫、黃父子、尚經理、陳炎太太的面前討論解決方案，但未果，只能請他們各自反省後於夜半一點多散會。之後到渤海大樓拜訪朝華君，陳太太與石大夫怪我沒替朝華君辯解，態度讓人甚無好感，下午三點就回到「明星」。與陳姊夫談及許多，仍舊找不出一個好的解決方案。
2	1944年（民33年，34歲） 10月22日　日	整晚沒睡好，起了個大早到金源兄的新家拜訪，聊到許多朝華的事。四面楚歌，沒人替楊朝華說句好話。十一點石大夫帶朝華夫妻來，語氣激昂地說要訴諸法律，讓人失望。中午被金源兄招待，下午三點饒君與黃父子同來，陳姊夫也加入討論，第一針對買賣案，第二則是希望由我暫代總經理的身分，請大家替朝華君留點面子，但饒、黃一派一心想打倒朝華君，連第二方案都不認同，總經理一事我也說不出口。下午五點左右帶金源君去「道庭春」吃晚餐，趕著搭下午六點的快車回京。結果雖讓人失望，但又構思許多新對策。
2	1944年（民33年，34歲） 10月23日　月	下午兩點請朝華君來一趟，與他協議暫時由我擔任總經理好行使職權協調此案，大體上意見一致，心想總算看到一線解決的曙光而歡喜。下午三點半先去探望星賢君的太太，然後拜訪京屋他家、慰問他太太，又去看了新買的家具，並去翁氏處探病，後拜訪吳姐夫，參加晚上肇嘉嫂送別會。與年輕的基心君喝得愉快，昨天過於操勞，早早告辭回家。
2	1944年（民33年，34歲） 10月24日　火	下午六點朝華君在石大夫的陪同下，跑來表達對我的不滿並矢言訴諸法律，痛感憤慨，難過計畫全泡湯。晚上設宴舉辦肇嘉嫂的送別會，邀請京屋先生的太太、翁氏夫婦、吳姊夫、姊姊、元禧、基心、清海、宋維屏夫婦，大夥熱熱鬧鬧邊吃邊聊。飯後打了幾圈麻將直到半夜一點多。
2	1944年（民33年，34歲） 10月25日　水	下午兩點五十分到北京車站送肇嘉嫂，然後把三連兄從石門接過來，馬上一同前往憲兵隊拜訪別府大人，討論交換滿洲金等問題。吳姊夫也前來欲訪問川上先生，但因不在而作罷。
2	1944年（民33年，34歲） 10月26日　木	早上十點帶吳姊夫前往大使館介紹給川上課長認識，拜託他安插安平協會職員一職。爾後與板垣教務課長、中森總務課長打過招呼後，馬上訪問經理部岡田中尉，他介紹法務部的越智大尉給我，越智剛好是京屋事件的主審官，因此我對他說明事情原委，請他幫忙搭救，越智大人斟酌之後，甚表同情。為求水泥價格討論順利，晚上招待安藤主查、池田亮、池田華陽三位，請他們對於提高價格一事多加幫忙，並找來蘇夫婦、廖永堂夫婦、楊課長，與母親、淑英一起和樂地共享晚餐。京屋君的太太與元禧君前來，討論今天與越智大尉的見面始末，並討論接下來搭救方針。王芹藻君也來訪，但一會兒就回去了。
2	1944年（民33年，34歲） 10月27日　金	下午三點前往野鐵與植村中尉會面，說明軍需品運費定額制一案。自從敕令更改後，似乎意外變得困難。下午六點茂蟾君來訪，想借兩萬圓，但我以手頭無現金回絕。晚上先前往將校宿舍訪問澤田大尉，討論啟新與大使館間的誤會。過了不久，越智大尉前來通知今天詰問京屋氏的結果，想不到京屋氏竟然全盤承認，讓人十分失望。三人談及許多日中之間的合作關係，從晚上七點到十一點，花了四個小時懇請他無論如何都要不起訴、或是暫緩執行。回到家後滿腦子京屋君的事，睡都睡不好。
2	1944年（民33年，34歲） 10月28日　土	十二點吳姊夫來訪，請我與川上課長懇談安平協會部長一職，我替他想了許多對策。不久中村君來訪，與我討論九月份糧食首長一事，一起用午餐。下午三點周秘書從天津來訪，講到川上課長對啟新的日本人派職之待遇問題與干涉公司內政等等，實在是無聊至極。晚上訪問中西少佐，明白講到對大使館的不滿，特別請他撤換潮囑託。
2	1944年（民33年，34歲） 10月29日　日	早上十點在賢良寺參加俞朔梧太太的葬禮後，與沙處長與周秘書講到自己對大使館的應對方針。淑英與孩子們來辦公處遊玩，本想一起去洗澡，但後來因故作罷。晚上為求解決京屋事件，邀請越智大尉來家裡用餐，並找來自天津前來的甲斐君、我軍、烈火、少英夫婦、毛昭江、星賢君等，讓越智先生聽聽眾人對京屋一事的意見，請他無論如何都要緩刑。大夥一同從晚上七點半高聲地邊喝邊聊到十一點多。京屋先生的太太邊流淚邊坐聽一切。
2	1944年（民33年，34歲） 10月30日　月	本欲與母親、淑英與三個孩子，在陳姊夫的陪伴下搭乘早上七點十五分的快車出發前往天津，但因交通中斷沒趕上，只得搭上八點四十五分。母親與瑪莉、璃莉在陳姊夫的帶領下前往金源君他家，我與淑英、宗仁，則在車站內的食堂用過中餐後，從天津搭普通車於下午五點抵達唐山，立刻被接到工廠與杜管理、劉管理會面，更與袁總理詳細報告與中西少佐會面時討論到潮囑託的細節。並提議工廠、總事務所、北京辦公處組織案。晚上在工廠用餐，因疲憊早早就寢。
2	1944年（民33年，34歲） 10月31日　火	早上趙技師來訪，他太太說想帶淑英出去走走便讓她們出去了，我則與袁總理、周秘書三人先去拜訪1420部隊的渡邊高級副官，還與加藤司令官(中將)、大森參謀長(中佐)、中島少尉等會面，聊到許多啟新的歷史與現況。出了司令部後，去見提〔堤〕連絡部長，並與小?部唐山領事、北村憲兵隊長(少佐)等會面，打招呼並表達謝意。事實上，過去唐山工廠與當地主要機關的關係相當糟糕。因此也為啟新蒙上許多不好的印象，成為公事上的一大障礙，演變成潮、中平等問題。我相信過了今天，大家對啟新的認識也會有所改變。中飯過後，搭晚上六點的火車與淑英、宗仁結伴來到天津，先前往「明星」與饒君與黃父子等會面，報告與朝華君會面的始末，要和解將會極度困難，近十三點到沙兄家睡。(譯者按：或許是楊筆誤，有可能是指「半夜一點」。)
2	1944年（民33年，34歲） 11月1日　水	早上十點半拜訪金源兄，將淑英等留下，馬上到啟新與陳協理等見面，報告潮問題以及與唐山高層會面的始末。並與于、汪襄理等聊到許多問題。十一點半與1800部隊的甲斐大尉見面，感謝他的好意，並想請他幫忙解決潮問題，但他不在而沒碰到面。又前往大使館，但渡邊氏出差到北京又不在，甚麼事都沒辦成而回公司吃中飯。飯後帶淑英、母親前往「新中央」看戲，我則於下午四點半左右與甲斐大尉見到面，懇切討論許多問題。晚上金源君請母親、淑英與我一同吃飯，蘇太太的手藝實在美味。然後搭乘晚上八點二十四分的快車一同回京。剛好車站旁有轎車便搭車回去，但回到家卻沒人來開門，把門房訓斥了一頓。
2	1944年（民33年，34歲） 11月2日　木	早上到公司，但沒特別狀況，下午拜訪?山大尉、立石中尉討論軍需運費定額制，但似乎比想像中的困難許多。中飯時王芹藻帶了兩位同鄉來訪。晚上何區義的孩子滿月，在辦公處簡單設宴。回到家後，陳姊夫從天津回來在家裡就寢。他的作為全都是騙人的，一點也看不出來想要認真處理事業的模樣，讓人傷透腦筋。
2	1944年（民33年，34歲） 11月3日　金	明治節，公司放假。早上如往常一樣送瑪莉到學校，然後到大廟公園散步。一個人快步走在秋高氣爽的藍天下，抱著種種想忘卻但又無法忘記的苦惱。辭去交通公司的問題、京屋君的問題、華北劇場的問題、銀價暴跌的問題、母親的問題、家中設備的問題、家庭問題，棘手的事堆積如山。人生沒一件事如意。要是有錢的話就可以過得輕鬆如意了，但一切卻不是如此簡單。真是苦惱。在秋天的晴空下一個人深深地嘆息。好想哭。好歹有個了解自己又可以幫忙自己的妻子在的話就好了。前往六國飯店拜訪平山先生，但不在。中午我軍請我在「東亞樓」用餐，他介紹陳祥霖給我認識，針對貨車問題詢問了我許多意見。下午三點回到家，但朱媽告病，家中更顯暗淡，一點樂趣也沒。晚上去看袁九爺的太太主演的「四郎探母」，比想像中的要演得好。
2	1944年（民33年，34歲） 11月4日　土	早上到寶信拿存摺，認真聊及許多商場現況。下午兩點劉會長來訪，聽他說明門頭溝與白鳥的紛爭、經緯。下午中平大佐與潮君來處裡，懇談警備問題。晚上與我軍兄到六國飯電35號拜訪平山先生聊了許多。爾後前往烈火君在「六合坊」舉行的烤鴨宴會。京屋君聽說被放出來了，烈火君確認此事後三人高興極了。宴會後馬上帶他過來，聽他講起獄中生活與事件始末。略盡微薄之力換得不起訴的結果，讓我非常高興，為慶祝，與三人如以前一樣和樂地打麻將到天明。
2	1944年（民33年，34歲） 11月5日　日	早上九點回到家，試圖睡著卻無法入眠，下午三點到六國飯店拜訪平山先生，不在。回到辦公處，沙處長板著臉。最近對他的態度感到萬分不滿，老想找個機會與他談談，但總是隱忍下來。下午七點訪問平山先生，一同去中央公園「上林春」參加京屋君設的招待宴會，烈火君也一起。談及許多時局情形，會後前往「開明戲院」看馬連良主演的「一捧雪」。
2	1944年（民33年，34歲） 11月6日　月	早上為了華中軍需用炭轉民需的方案討論召集關係人，進行討論。夜裡聽四舅講到今天從沙君處聽到許多對我不滿的話，深受打擊，我反倒要請啟新裡的諸公自我反省才是。晚上八點在「幸庭」與京屋君夫婦見面，他們為這次事件對我表達謝意，聊到過十點。
2	1944年（民33年，34歲） 11月7日　火	今日與佐原理事說明軍用運費改正方案，十二點半與沙兄到大使館拜訪川上課長，希望他撤回有關潮囑託的待遇問題方案，但不成。他出於好意，但對公司而言卻是個麻煩，使我被罵了一頓。昨晚為潮囑託的事煩了一夜沒睡好，今天頭痛了一天。
2	1944年（民33年，34歲） 11月8日　水	下午一點請中平大佐前來，請他撤銷對潮囑託的公文，他與我意氣相投，相當理解我的想法。從天津來的金源君一起在辦公處用中餐，討論到開設賭場的人選等，相當有趣。晚上橋本君來訪，吐露對潮囑託因價格上揚等問題引發的不滿，我詳細聽他說明原委。
2	1944年（民33年，34歲） 11月9日　木	今天拿給陳姊夫八千圓，如果他可以好好利用就好了。昨天商君拜託我與岡田中尉交涉篦麻與食鹽交易交予四舅一事。朝華君被饒君擺了一道，這次來找我求情，被我拒絕。夜裡陳姊夫來討論賭場與劉會長一事，晚上十二點左右，元禧君因出差來北京。
2	1944年（民33年，34歲） 11月10日　金	橋本君來討論水泥價格，情況看來不樂觀。對第三課的劉君感到相當不滿，很想早點辭去交通公司的工作，專心待在啟新。中平大佐請我幫忙煙草沒收的事，今日收到書信。
2	1944年（民33年，34歲） 11月11日　土	下午沒去公司，到「國際劇場」看「唱吧，正是今宵！」，同時聽了渡邊濱子的獨唱。許久未聽，抱著難得的感動回家，彷彿又體驗到人心之美。想儘早辭去交通公司的工作。每次去交通公司，不但心情很不平靜，也會深感人性之虛偽，相當不愉快。去看電影時，偶然遇到玉燕，覺得兩人的想法正逐漸越走越遠。聽到她那令人同情的遭遇很想盡一份心力，但她不開口，我也不好開口惹來誤解，因此努力保持冷淡的態度。
2	1944年（民33年，34歲） 11月12日　日	下午一點招待川上課長(他帶了兩個孩子前來)來家裡做客。吳姊夫與姊姊、沙兄也來了。先請他幫忙吳姊夫部長職位一職，其次把啟新目前最大的煩惱──對潮囑託個人行動問題的種種不滿全盤託出。之後請他重新考慮大使館對啟新近來的處置。川上課長始終臉上帶笑，率直地承認人選不當，並約定將重新考慮。到了下午四點在一團和樂中送走他們一行人。下午五點日鐵礦業的常務理事平山泰來訪。北京短暫匆忙的行程中還抽空前來，讓人不勝感激。聊了許多問題，過了六點回去。之後與沙兄與袁總理見面，報告今日與川上課長會面的經過。今天不知何故，非常開心，特別是對川上課長對我的好意感到相當高興。晚上與沙兄到「六芳齋」。
